X,Y,OBJECTID,inc_date_create,inc_id,duplicate,item_date_create,IS_VEHICLE,report_id,latitude,longitude,zip_code,NAME,year,month
-13664738.1746,5715245.635,354,2025/06/07 21:58:04+00,25-154120,0,20250607144711,No,882421,45.592247443757614,-122.75243155734668,97203,St. Johns,2025,6
-13650319.9008,5700411.2068,356,2025/06/07 21:38:04+00,25-154118,0,20250607143202,Yes,882406,45.498920000108136,-122.6229100000951,97202,Richmond,2025,6
-13656184.5343,5707596.2338,358,2025/06/07 21:28:04+00,25-154116,0,20250607142149,No,882400,45.544142318117785,-122.67559289918319,97227,Boise,2025,6
-13648840.0108,5700068.0449,364,2025/06/07 21:18:04+00,25-154110,0,20250607141254,No,882384,45.4967592411808,-122.60961592203694,97206,Foster-Powell,2025,6
-13635475.0775,5709132.2606,373,2025/06/07 20:58:04+00,25-154101,0,20250607135411,Yes,882360,45.5538053031433,-122.48955668349066,97230,Wilkes,2025,6
-13640827.2472,5705916.5415,374,2025/06/07 20:58:04+00,25-154100,0,20250607135110,No,882358,45.53357364682086,-122.53763604193776,97230,Hazelwood,2025,6
-13641457.6628,5705907.8553,375,2025/06/07 20:48:04+00,25-154099,0,20250607134056,No,882350,45.53351898784267,-122.54329916162605,97220,Parkrose Heights,2025,6
-13657059.9772,5696958.6851,380,2025/06/07 20:38:04+00,25-154094,0,20250607132715,Yes,882333,45.47717701518352,-122.68345713655764,97239,Hillsdale,2025,6
-13645564.5647,5704880.5919,384,2025/06/07 20:18:04+00,25-154090,0,20250607131132,Yes,882318,45.527054432338055,-122.58019208909755,97213,Montavilla,2025,6
-13656334.0193,5704712.7825,385,2025/06/07 20:18:04+00,25-154089,0,20250607131024,No,882316,45.52599833931806,-122.67693574578567,97209,Old Town,2025,6
-13658278.1923,5712815.8768,390,2025/06/07 19:58:04+00,25-154084,0,20250607125233,Yes,882302,45.576971781240566,-122.69440054899437,97217,Arbor Lodge,2025,6
-13655730.6895,5704278.0531,392,2025/06/07 19:58:04+00,25-154082,0,20250607124616,No,882295,45.523262317619455,-122.67151594197861,97209,Old Town,2025,6
-13653308.5911,5700825.53,394,2025/06/07 19:48:04+00,25-154080,0,20250607124119,No,882289,45.50152872397084,-122.649757861855,97202,Hosford-Abernethy,2025,6
-13640799.6488,5707983.9726,404,2025/06/07 19:28:04+00,25-154070,0,20250607122145,No,882264,45.5465816993696,-122.5373881212924,97230,Russell,2025,6
-13647865.4387,5710253.6615,407,2025/06/07 19:08:04+00,25-154067,0,20250607120212,No,882247,45.56085887060734,-122.60086119190788,97218,Cully,2025,6
-13657637.9186,5706137.7922,411,2025/06/07 18:58:04+00,25-154063,0,20250607115013,No,882234,45.53496587606002,-122.6886488724871,97209,Northwest District,2025,6
-13658217.8787,5704981.5966,417,2025/06/07 18:48:04+00,25-154057,0,20250607114229,No,882217,45.527690086566196,-122.69385874270716,97209,Northwest District,2025,6
-13657736.5643,5705864.1215,420,2025/06/07 18:38:04+00,25-154054,0,20250607112623,No,882206,45.533243786738524,-122.6895350218873,97209,Northwest District,2025,6
-13658898.646,5706672.3236,421,2025/06/07 18:28:04+00,25-154053,0,20250607111612,Yes,882199,45.53832929492136,-122.69997417941237,97210,Northwest District,2025,6
-13653401.1516,5706773.0895,426,2025/06/07 17:58:04+00,25-154048,0,20250607105352,No,882180,45.538963319194025,-122.65058934697355,97212,Irvington,2025,6
-13651745.9035,5712645.4233,430,2025/06/07 17:38:05+00,25-154044,0,20250607102955,Yes,882163,45.57590000000365,-122.63572000030113,97211,Sunderland,2025,6
-13646226.9344,5698272.5225,435,2025/06/07 17:38:04+00,25-154039,0,20250607102521,Yes,882151,45.48545217306148,-122.58614225735002,97206,Mt. Scott-Arleta,2025,6
