ZIP_CODE,ZIP_TYPE,PREFERRED_CITY,ACCEPTABLE_CITY1,ACCEPTABLE_CITY2,ACCEPTABLE_CITY3,AVOID_CITY1,AVOID_CITY2,AVOID_CITY3,CENSUS_ZCTA,ObjectId
97058,STANDARD,THE DALLES,,,,CELILO,ROWENA,,97058,352
97060,STANDARD,TROUTDALE,WOOD VILLAGE,,,SPRINGDALE,,,97060,353
97062,STANDARD,TUALATIN,,,,,,,97062,354
97063,STANDARD,TYGH VALLEY,WAMIC,,,,,,97063,355
97064,STANDARD,VERNONIA,,,,,,,97064,356
97065,STANDARD,WASCO,,,,BIGGS,BIGGS JUNCTION,,97065,357
97067,STANDARD,WELCHES,,,,WEMME,,,97067,358
97068,STANDARD,WEST LINN,,,,W LINN,WANKERS CORNERS,WILLAMETTE,97068,359
97070,STANDARD,WILSONVILLE,,,,CHARBONNEAU,,,97070,360
97071,STANDARD,WOODBURN,,,,MONITOR,,,97071,361
97075,PO BOX ONLY,BEAVERTON,,,,,,,NO ZCTA,362
97076,PO BOX ONLY,BEAVERTON,,,,,,,NO ZCTA,363
97077,UNIQUE,BEAVERTON,,,,TEKTRONIX,,,NO ZCTA,364
97078,STANDARD,BEAVERTON,ALOHA,,,,,,97078,365
97079,UNIQUE,BEAVERTON,,,,SHARED RESHIPPER,,,NO ZCTA,366
97080,STANDARD,GRESHAM,,,,DAMASCUS,,,97080,367
97086,STANDARD,HAPPY VALLEY,CLACKAMAS,PORTLAND,,,,,97086,368
97089,STANDARD,DAMASCUS,BORING,,,HAPPY VALLEY,,,97089,369
97101,STANDARD,AMITY,,,,,,,97101,370
97102,STANDARD,ARCH CAPE,,,,,,,97102,371
97103,STANDARD,ASTORIA,,,,TONGUE POINT,,,97103,372
97106,STANDARD,BANKS,,,,,,,97106,373
97107,STANDARD,BAY CITY,,,,,,,97107,374
97108,STANDARD,BEAVER,,,,,,,97108,375
97109,STANDARD,BUXTON,BANKS,,,,,,97109,376
97110,PO BOX ONLY,CANNON BEACH,,,,,,,97110,377
97111,STANDARD,CARLTON,,,,,,,97111,378
97112,STANDARD,CLOVERDALE,BEAVER,,,,,,97112,379
97113,STANDARD,CORNELIUS,,,,,,,97113,380
97114,STANDARD,DAYTON,,,,GRAND ISLAND,,,97114,381
97115,STANDARD,DUNDEE,,,,,,,97115,382
97116,STANDARD,FOREST GROVE,GLENWOOD,,,VERBOORT,,,97116,383
97117,STANDARD,GALES CREEK,,,,,,,97117,384
97118,PO BOX ONLY,GARIBALDI,,,,,,,97118,385
97119,STANDARD,GASTON,,,,,,,97119,386
97121,STANDARD,HAMMOND,,,,,,,97121,387
97122,STANDARD,HEBO,,,,,,,97122,388
97123,STANDARD,HILLSBORO,CORNELIUS,,,ORENCO,SCHOLLS,,97123,389
97124,STANDARD,HILLSBORO,CORNELIUS,,,HELVETIA,ORENCO,WEST UNION,97124,390
97125,STANDARD,MANNING,BANKS,,,,,,97125,391
97127,STANDARD,LAFAYETTE,,,,,,,97127,392
97128,STANDARD,MCMINNVILLE,,,,,,,97128,393
97129,UNIQUE,HILLSBORO,,,,SHARED RESHIPPER,,,NO ZCTA,394
97130,PO BOX ONLY,MANZANITA,,,,,,,97130,395
97131,STANDARD,NEHALEM,,,,MOHLER,NEAHKAHNIE,,97131,396
97132,STANDARD,NEWBERG,,,,,,,97132,397
97133,STANDARD,NORTH PLAINS,,,,,,,97133,398
97134,PO BOX ONLY,OCEANSIDE,,,,,,,97134,399
97135,PO BOX ONLY,PACIFIC CITY,,,,,,,97135,400
97751,STANDARD,PAULINA,,,,,,,97751,401
97752,STANDARD,POST,,,,,,,97752,402
